Device: cpu
Surface: wood | epochs=120 lr=0.0005 batch=8 seed=42
Smudge boost: 2.5 | Cracked boost: 1.0
Latest log:  outputs\wood_train.log
History log: outputs\training_history\wood_20260519_002954.log
Dataset sizes -> train: 245  val: 52  test: 55
Train class counts: {'clean': 81, 'smudged': 80, 'cracked': 84}
Class weights:      {'clean': 1.008, 'smudged': 2.552, 'cracked': 0.972}
Input channels: 6
Total trainable parameters: 1,241,603
Epoch 01/120 | Train Loss: 1.0258 | Train Acc:  38.8% | Val Loss: 1.0680 | Val Acc:  50.0% | LR: 0.000500
Epoch 02/120 | Train Loss: 0.9119 | Train Acc:  49.0% | Val Loss: 0.9030 | Val Acc:  55.8% | LR: 0.000500
Epoch 03/120 | Train Loss: 0.9398 | Train Acc:  45.7% | Val Loss: 0.9256 | Val Acc:  51.9% | LR: 0.000500
Epoch 04/120 | Train Loss: 0.8815 | Train Acc:  47.3% | Val Loss: 0.8037 | Val Acc:  61.5% | LR: 0.000500
Epoch 05/120 | Train Loss: 0.8150 | Train Acc:  52.7% | Val Loss: 0.7997 | Val Acc:  63.5% | LR: 0.000500
Epoch 06/120 | Train Loss: 0.9203 | Train Acc:  44.9% | Val Loss: 1.0127 | Val Acc:  50.0% | LR: 0.000500
Epoch 07/120 | Train Loss: 0.8830 | Train Acc:  48.2% | Val Loss: 0.9668 | Val Acc:  51.9% | LR: 0.000500
Epoch 08/120 | Train Loss: 0.8449 | Train Acc:  53.5% | Val Loss: 0.9993 | Val Acc:  46.2% | LR: 0.000500
Epoch 09/120 | Train Loss: 0.8751 | Train Acc:  51.0% | Val Loss: 0.9375 | Val Acc:  51.9% | LR: 0.000500
Epoch 10/120 | Train Loss: 0.8219 | Train Acc:  51.8% | Val Loss: 0.8632 | Val Acc:  53.8% | LR: 0.000500
Epoch 11/120 | Train Loss: 0.8383 | Train Acc:  48.6% | Val Loss: 0.8273 | Val Acc:  59.6% | LR: 0.000500
Epoch 12/120 | Train Loss: 0.8011 | Train Acc:  53.9% | Val Loss: 0.8053 | Val Acc:  61.5% | LR: 0.000500
Epoch 13/120 | Train Loss: 0.8257 | Train Acc:  52.2% | Val Loss: 0.9107 | Val Acc:  53.8% | LR: 0.000500
